time,161398,66889,67897,353767,193501,521986,112273,21373,196504,74863,522430,69364,521980,521983,514987,197593,521977,512008,246697,156526
2025-07-08T10:00:00.000Z,1,0.44,0.8,0.8,0.1,0.95,,0.6,0.8,0.2,0.67,0.1,0.1,0.17,0.85,0.2,1.33,1.1,0.6
2025-07-08T17:00:00.000Z,1.6,0.7,1.21,0.98,0.8,1.96,,1.3,1.41,1.2,1.2,0.7,1.2,0.09,1,1.2,2,1.36,0.9
2025-07-09T03:00:00.000Z,1.4,0.95,2.82,1.25,3.45,1.5,,1.3,1.3,3.35,1.6,1.9,4.05,0.5,1.38,4.3,4.5,1.95,1.75
2025-07-10T03:00:00.000Z,4.5,0.95,4.3,1.95,4.2,1.77,,1.6,2.33,4.7,2.6,2,4.3,0.5,2.07,4.8,5.33,2.29,1.59
2025-07-19T05:00:00.000Z,3.8,1.17,3.99,2.9,4.2,2.25,3.9,2.7,3,3.8,1.8,2.1,4.05,0.67,2.95,4.35,6.67,2.91,2.2
2025-07-08T08:00:00.000Z,0.9,0.47,1.1,0.8,0.4,0.9,,0.52,0.72,0.3,0.8,0.25,0.6,0.09,0.82,0.8,1.17,1.17,0.67
2025-07-07T05:00:00.000Z,28.5,10.48,13.97,10.02,34.7,0.1,,12.75,19.58,32.9,27.95,22.2,37.7,29.5,13.77,38.8,30.25,9.79,13.2
2025-07-07T18:00:00.000Z,15.4,4.75,9.32,3.42,22.5,10.73,,4.67,9.02,22.1,6.43,2.4,21.3,24.67,3.85,21.65,23.67,5.54,6.43
2025-07-08T23:00:00.000Z,1.5,0.7,2.3,1.3,1.3,1.34,,1.3,1.6,1.5,1.52,1,1.5,,1.27,1.5,2,1.6,1.1
2025-07-14T19:00:00.000Z,10.6,1.67,3.58,2.6,8.1,,,1.8,2.17,7.4,2.3,3.75,7.35,7.5,2.5,7.4,21.83,3.34,2.4
2025-07-16T10:00:00.000Z,19,3.93,7.03,4.97,14.4,,16.5,3.7,5.4,14.8,5.72,9.2,15.35,16.5,4.68,16.5,22.67,5.1,8.97
2025-07-16T12:00:00.000Z,17.2,3.6,6.14,4.43,17.25,,15.75,3.65,5.6,19.7,5.4,10.1,18,20.42,4.1,17.6,24.33,5.6,4.68
2025-07-07T02:00:00.000Z,19.35,7.73,,7.55,29.35,0.1,,10.1,15.4,27.1,17.63,17.3,31.45,25.5,10.75,30.95,27.33,7.7,13.36
2025-07-10T10:00:00.000Z,8.6,2.38,6.25,2.48,6.25,5.3,,5.92,7.18,6.35,4.3,3.55,7.1,3.33,4.03,6.9,10.33,4.37,3.88
2025-07-13T19:00:00.000Z,7.4,1.5,4.29,2.13,7.6,,,1.95,9.98,7.3,2.5,3.7,7.55,6,6.03,7.7,10.33,3.3,2.1
2025-07-17T06:00:00.000Z,17,4.78,12.58,5.72,22.5,,14.5,8.44,9.9,16.9,7.55,13.2,24,20.17,7.83,23.3,25.17,8.4,9.25
2025-07-17T08:00:00.000Z,21.5,6.7,12.35,6.84,26.25,,19.6,7.53,8.73,19.75,10.1,15.8,28.05,22.75,7.97,27.1,29.33,8.5,11.43
2025-07-05T13:00:00.000Z,5.1,1.2,,1.9,6,4.03,,1.5,3.1,6.6,2.3,3.6,6.4,2.59,1.6,7,7,2.6,1.8
2025-07-10T07:00:00.000Z,4.3,1.1,3.33,2.3,2.75,1.8,,1.69,2.58,3,1.82,1.5,3.7,0.5,2.94,3.6,4.59,2.32,1.3
2025-07-10T12:00:00.000Z,6.1,2.42,6.52,1.91,7.6,5.5,,4.03,4.9,8.4,4.17,3.3,7.8,2.67,3.13,8.1,8.83,3.36,3.34
2025-07-11T01:00:00.000Z,10.4,2.41,4.79,2.9,11,4.59,,4.72,3.75,11.4,3.65,6.4,11.7,8.25,3.35,11.9,15,3.6,3.65
2025-07-12T21:00:00.000Z,5.4,1.1,4.32,1.7,4.5,,,2.09,1.8,4.7,2.03,2.3,5,2.33,1.6,5,7.83,2.3,1.7
2025-07-16T07:00:00.000Z,23.75,5.1,10.84,8.32,24.3,,,8.11,6.82,19.7,8.38,15.15,25.25,24,7.82,25.8,30.09,7.12,8.45
2025-07-17T16:00:00.000Z,8.9,2.6,4.97,3.17,10.15,7.61,7.5,2.97,4.22,10.4,4.1,5.8,10,5.5,3.25,11.75,11.5,3.92,3.46
2025-07-13T22:00:00.000Z,,2.1,5.72,3.08,13.95,,,2.72,3.75,11.6,3.9,6.7,13.4,7.17,3.13,13.1,14.5,4.38,2.89
2025-07-07T10:00:00.000Z,13.5,2.8,5.27,3.38,12.7,5.95,,3.42,5.78,10.2,4.53,7.1,13.3,11.67,3.9,13.45,20.17,4.4,3.63
2025-07-10T09:00:00.000Z,6.1,1.85,3.9,2.28,4.2,3.51,,3.15,4.43,4.65,3.14,0.35,5,1.33,2.97,4.7,7.67,2.99,2.78
2025-07-12T00:00:00.000Z,5.6,1.48,3.5,1.98,7.65,,,1.99,2.35,6.8,2.93,4.85,7.45,3,2.17,8.4,7.83,2.53,2.25
2025-07-13T13:00:00.000Z,7,1.63,4.76,1.72,6.1,,,1.55,2.38,17.6,2.27,3.4,6.3,3.34,1.79,7.3,31.09,2.94,2
2025-07-15T03:00:00.000Z,9.1,1.88,5.24,3.46,12.8,,,2,2.65,11.6,3.87,6.4,12,7,2.92,12.5,13,3.41,2.65
2025-07-16T20:00:00.000Z,15.1,3.61,7.2,4.07,14.4,,16.7,4.45,6.72,15.8,6,8.2,15.2,18.83,20.73,15,22.5,6,4.72
